deck_id,card_id,name,type,cost,quantity,keywords,operations,triggers,recorded_draw_events,normal_play_events,response_play_events,use_events,uses_per_recorded_draw,avg_use_turn,games_used,win_rate_when_used,deck_baseline_win_rate,win_rate_delta_vs_deck,usage_confidence,outlier_score,attribution_method
D001,A001,石中劍,artifact,3,2,,modify_attack,manual,1006,1269,0,1269,1.2614,7.646,900,0.8956,0.8975,-0.0019,1.0,-0.0019,unique_static_membership
D001,S002,神聖防禦,spell,3,3,,modify_max_health,on_play,1474,1286,0,1286,0.8725,9.901,773,0.9651,0.8975,0.0676,1.0,0.06329,unique_static_membership
D001,U001,哥布林,unit,1,3,,modify_attack,on_flip,1478,1940,0,1940,1.3126,6.114,1014,0.9122,0.8975,0.0147,1.0,0.0147,unique_static_membership
D001,U002,帝國騎士,unit,2,3,,modify_max_health,on_flip,1556,1891,0,1891,1.2153,7.034,1027,0.9036,0.8975,0.0061,1.0,0.0061,unique_static_membership
D001,U003,游擊小隊,unit,2,3,迅擊,modify_attack,on_flip,1485,1884,0,1884,1.2687,6.849,1009,0.9039,0.8975,0.0064,1.0,0.0064,unique_static_membership
D001,U004,帝國盾衛,unit,3,2,庇護,heal,on_flip,960,1192,0,1192,1.2417,7.42,860,0.9279,0.8975,0.0304,1.0,0.0304,unique_static_membership
D001,U006,飛龍,unit,4,2,,damage,on_flip,1017,1222,0,1222,1.2016,8.157,868,0.9309,0.8975,0.0334,1.0,0.0334,unique_static_membership
D001,U011,遺跡石像,unit,7,2,庇護,add_keyword,on_flip,1034,1012,0,1012,0.9787,9.912,796,0.9585,0.8975,0.061,1.0,0.06035,unique_static_membership
D001,U012,騎士團長,unit,6,2,,modify_attack|modify_max_health,on_enter|on_flip,988,1113,0,1113,1.1265,9.412,849,0.9376,0.8975,0.0401,1.0,0.0401,unique_static_membership
D002,A002,世界樹,artifact,5,2,,heal,manual,1645,1417,0,1417,0.8614,8.699,944,0.0826,0.1025,-0.0199,1.0,-0.018521,unique_static_membership
D002,S001,全力一擊,spell,2,3,,damage,on_play,2459,2757,0,2757,1.1212,7.3,1088,0.0892,0.1025,-0.0133,1.0,-0.0133,unique_static_membership
D002,S003,精靈鼓舞,spell,4,2,,modify_attack|modify_max_health,on_play,1655,1573,0,1573,0.9505,8.155,1007,0.1033,0.1025,0.0008,1.0,0.00078,unique_static_membership
D002,U005,報童,unit,1,3,,draw,on_enter|on_flip,2347,2658,0,2658,1.1325,6.492,1075,0.094,0.1025,-0.0085,1.0,-0.0085,unique_static_membership
D002,U007,小精靈,unit,1,3,,draw,on_leave,2410,2670,0,2670,1.1079,6.622,1082,0.0952,0.1025,-0.0073,1.0,-0.0073,unique_static_membership
D002,U008,精靈遊俠,unit,2,3,迅擊,damage,on_flip,2449,2536,0,2536,1.0355,6.776,1071,0.0999,0.1025,-0.0026,1.0,-0.0026,unique_static_membership
D002,U009,大樹守衛,unit,5,2,,add_keyword|modify_max_health,on_flip,1653,1347,0,1347,0.8149,8.816,923,0.0813,0.1025,-0.0212,1.0,-0.019238,unique_static_membership
D002,U010,慈愛精靈,unit,3,2,,heal,manual,1656,1560,0,1560,0.942,7.574,974,0.0821,0.1025,-0.0204,1.0,-0.019808,unique_static_membership
D002,U013,聖獸,unit,6,2,,heal,on_flip,1663,1199,0,1199,0.721,9.156,841,0.0844,0.1025,-0.0181,1.0,-0.015575,unique_static_membership
